fake_1,fake_2
3.046870748218263e-06,1.353504918995459e-05
1.412396350359756e-06,5.462341392425844e-06
1.3484352009015728e-06,4.797315797394396e-06
1.340597917774592e-06,4.831908521227707e-06
1.3317682975132192e-06,4.775676764060215e-06
1.33092263071427e-06,4.784031494336854e-06
1.329552716567691e-06,4.776651800580451e-06
1.3293562476893022e-06,4.77224875891109e-06
1.3289925448980353e-06,4.770975003550396e-06
1.3288391026214292e-06,4.768518617737441e-06
1.3287213369129035e-06,4.767568640567024e-06
1.3286641883362558e-06,4.766050841310931e-06
1.3286186841950233e-06,4.765132757858466e-06
1.3286186841950233e-06,4.763974332460008e-06
1.3286046448048064e-06,4.763097255216337e-06
1.328607287513553e-06,4.762225303748766e-06
1.3286186841950233e-06,4.7614128682370154e-06
1.3286288421067686e-06,4.7606226444216955e-06
1.3286362747251186e-06,4.7599463267419175e-06
1.3286465978061605e-06,4.759292790289247e-06
1.3286655922752774e-06,4.758648081562082e-06
1.328693340717118e-06,4.757944711175112e-06
1.32871357395596e-06,4.757309969234806e-06
1.3287289347005505e-06,4.756761226426835e-06
1.3287529668332159e-06,4.756184861380994e-06
1.328780880444353e-06,4.755599953374988e-06
1.3288011136831952e-06,4.755083104284968e-06
1.328832661018859e-06,4.754552301693344e-06
1.3288632173387428e-06,4.753999572170628e-06
1.3288758527899382e-06,4.753569006978281e-06
1.3289100428343487e-06,4.753111104313404e-06
1.3289493531269561e-06,4.7525626462707704e-06
1.3289721464898966e-06,4.752109584616654e-06
1.3289885808349153e-06,4.751769859567401e-06
1.3290305338362693e-06,4.751311956902524e-06
1.3290621637565817e-06,4.750850067522902e-06
1.329063485110955e-06,4.7505920701259006e-06
1.3291141095003842e-06,4.750180014680579e-06
1.3291407017571482e-06,4.749749164722892e-06
1.3291698541380103e-06,4.749400896713474e-06
1.3291812508194805e-06,4.7491559985220595e-06
1.3292256813602848e-06,4.748775552029351e-06
1.329254833741147e-06,4.748408774272906e-06
1.3292775445194391e-06,4.748123439403375e-06
1.3293182587510682e-06,4.747788840130221e-06
1.3293321329719883e-06,4.747503790026029e-06
1.3293600465831257e-06,4.747254620354531e-06
1.3294019169998314e-06,4.746910339059857e-06
1.329434868274517e-06,4.746557514805016e-06
1.3294424660621638e-06,4.746376404049505e-06
1.3294843364788695e-06,4.746095340660056e-06
1.3294968893454164e-06,4.745860409255502e-06
1.3295109287356335e-06,4.74570179496176e-06
1.3295615531250626e-06,4.745399089406558e-06
1.3295805475941796e-06,4.745100085800761e-06
1.3295920268602984e-06,4.744968808979549e-06
1.3296287770288072e-06,4.744742420535161e-06
1.3296604069491196e-06,4.744466482921811e-06
1.3296808053572583e-06,4.744240094477422e-06
1.3297074801986705e-06,4.744045884516324e-06
1.329731512331336e-06,4.7438331648082e-06
1.3297543056942764e-06,4.743652338818028e-06
1.3297808979510401e-06,4.743453572611507e-06
1.3298011311898823e-06,4.743259362650409e-06
1.3298329262794912e-06,4.743042086696863e-06
1.3298531595183331e-06,4.742860691176013e-06
1.329874796696197e-06,4.742671037460336e-06
1.3298823944838437e-06,4.742576210602498e-06
1.329907830555531e-06,4.742449205261369e-06
1.3299520959270383e-06,4.742164724687854e-06
1.3299558948208618e-06,4.742001554148691e-06
1.3299661353172554e-06,4.74195200497973e-06
1.3300053630252143e-06,4.741748397762449e-06
1.330015603521608e-06,4.74157668426312e-06
1.3300421957783716e-06,4.741441135961826e-06
1.3300573913536654e-06,4.7413053028951925e-06
1.3300776245925075e-06,4.741165198348476e-06
1.3301095022667647e-06,4.740988928603726e-06
1.3301221377179599e-06,4.7408308838406615e-06
1.3301411321870769e-06,4.7407175472357975e-06
1.3301575665320955e-06,4.740595952436107e-06
1.330167807028489e-06,4.740505112293013e-06
1.3301842413735077e-06,4.740405729189753e-06
1.330214632524095e-06,4.740238571935845e-06
1.3302362697019588e-06,4.7400620174257555e-06
1.3302451062593305e-06,4.739976303058761e-06
1.3302527040469775e-06,4.739926469124461e-06
1.330274341224841e-06,4.739813702050275e-06
1.3302983733575065e-06,4.739646829561706e-06
1.3303098526236252e-06,4.739533492956842e-06
1.3303148902871736e-06,4.739493056278725e-06
1.330336444880389e-06,4.739393388410127e-06
1.3303593208279777e-06,4.739244171372567e-06
1.330373195048898e-06,4.73912656328762e-06
1.3303948322267616e-06,4.739013511448095e-06
1.330401026075387e-06,4.738927512315761e-06
1.3304087890323304e-06,4.738887360402983e-06
1.3304443004311143e-06,4.738729315639919e-06
1.330451898218761e-06,4.738593767338624e-06
1.3304556971125846e-06,4.7385661451007556e-06
1.3304645336699565e-06,4.738525993187977e-06
1.3304722966268998e-06,4.738471603008256e-06
1.3304974023599936e-06,4.738371935139657e-06
1.330507808025684e-06,4.738254896585388e-06
1.3305254811404275e-06,4.738164056442293e-06
1.3305278760952293e-06,4.73811023579325e-06
1.3305444756095445e-06,4.738028508140999e-06
1.33056355266331e-06,4.737929409803077e-06
1.3305685903268584e-06,4.7378525231615874e-06
1.3305801521776252e-06,4.737811801718131e-06
1.3305864286108987e-06,4.737752855292988e-06
1.3306016241861922e-06,4.7376850811423405e-06
1.3306066618497406e-06,4.737630690962619e-06
1.330624500133781e-06,4.7375501023717244e-06
1.330643494602898e-06,4.737437050532199e-06
1.3306421732485248e-06,4.737387216597899e-06
1.330657533993115e-06,4.7373425084397e-06
1.3306726469837603e-06,4.737233728080257e-06
1.3306764458775838e-06,4.737170510175032e-06
1.3306840436652305e-06,4.737157126204105e-06
1.3306828048955054e-06,4.7371340602116585e-06
1.330693045391899e-06,4.737102736024384e-06
1.3307044420733692e-06,4.737043789599241e-06
1.3307195550640144e-06,4.736949247506742e-06
1.3307361545783298e-06,4.736854135883565e-06
0.0008503326809457642,0.003777729899554744
0.0017507494706592178,0.006523023626151164
0.0025278264342793637,0.009589402747305489
0.0033792080803225445,0.013881319449780527
0.0027658199045072517,0.009793394821524411
0.0027348201275248095,0.010005742393747326
0.002958527410251329,0.010545276501197427
0.003610513848370982,0.010504445543826341
0.004018845077043782,0.009409069323713213
0.004339868988859624,0.009600491700962773
0.004356505960928712,0.010806490352317146
0.004378933720970285,0.010967699500726416
0.0042694827881162,0.010517841634365303
0.0042160522066917085,0.010497334010172353
0.003994687082731559,0.01028596854576257
0.0038886323477420543,0.010143333132289514
0.003923045912458495,0.01040712239202134
0.003948516719909406,0.011267021934352795
0.0038907732378102742,0.012193295401988527
0.003714991245647087,0.012280650509409902
0.0035848857468954655,0.011718361127225399
0.003721753197371485,0.011931584664968102
0.004076980948537627,0.0134366322294237
0.004379497949858544,0.014316526180463808
0.004442467652775182,0.013863268261519231
0.004628602636157826,0.014248462143257836
0.004639668017088717,0.012696019128827474
0.004534880090964038,0.010913877193209668
0.004093526250325709,0.009733114163697324
0.003440028098236254,0.00805774087759323
0.002303247099949768,0.004709283071485175
0.001466260563291661,0.0024281576126700868
0.0008311906746848285,0.0026215099425803377
3.3053263422927515e-06,0.007170747056887412
2.809131678347877e-06,0.0038565732115291807
2.5577367413674283e-06,0.002780443155276578
1.973491646722271e-06,1.4250056227731024e-05
1.3801136809870553e-06,6.080502016580726e-06
1.3491155332345555e-06,4.606811487650441e-06
1.3057670990775184e-06,5.392512375093409e-06
1.3757580014645766e-06,5.240967096123417e-06
1.3310622813546043e-06,4.641752764258511e-06
1.3288442228696259e-06,4.898336301352869e-06
1.3486834503544674e-06,4.742209717611393e-06
1.5144386025195288e-06,4.897836253417841e-06
5.262637013697471e-06,6.529182840724588e-06
1.65501485159236e-06,5.141273029113325e-06
1.398656246908391e-06,5.047847786272766e-06
1.3493869889736324e-06,4.948966439539764e-06
1.338072974736401e-06,4.89709358541411e-06
1.341336967792541e-06,5.025362145586173e-06
1.336449773473379e-06,4.922811312696697e-06
1.3401159537669096e-06,4.985360588906667e-06
1.3435719561304279e-06,5.015036554399325e-06
1.3458635149524243e-06,4.994701461551757e-06
1.3558877221519613e-06,5.0756784723696505e-06
1.3606891110215034e-06,5.065317570280784e-06
1.3711270673091979e-06,5.102601896096945e-06
1.3822538621486539e-06,5.137802878694049e-06
1.387837988315114e-06,5.129638086898426e-06
