fake_1,fake_2
3.0417217605638793e-06,1.350250848515306e-05
1.412312774695641e-06,5.462773666210225e-06
1.3483259414118258e-06,4.796593062964384e-06
1.3406183161827307e-06,4.832249670103655e-06
1.3317630946803742e-06,4.775398833089494e-06
1.3309252734230166e-06,4.784017825600589e-06
1.3295373558231007e-06,4.776733812998041e-06
1.3293587252287523e-06,4.772266983892776e-06
1.328977184153445e-06,4.771093750696698e-06
1.3288416627455275e-06,4.768564749722335e-06
1.3287213369129035e-06,4.767577753057867e-06
1.3286516354697089e-06,4.7661413966886876e-06
1.3286250432129451e-06,4.7651689230565e-06
1.3286110864073765e-06,4.764014484372786e-06
1.3285996897259063e-06,4.763165314132323e-06
1.3286058835745314e-06,4.7622483697412135e-06
1.3286022498500046e-06,4.761507695094854e-06
1.3286212443191216e-06,4.760731709546477e-06
1.328633879770317e-06,4.759992173961473e-06
1.3286288421067686e-06,4.759415524150293e-06
1.3286655922752774e-06,4.758707597517902e-06
1.328694579486843e-06,4.757940724460368e-06
1.3286921845320414e-06,4.757436974575935e-06
1.3287275307615288e-06,4.756842954079086e-06
1.328750324124469e-06,4.756202801597342e-06
1.3287680798238611e-06,4.755677409547156e-06
1.3288022698682718e-06,4.755123825728424e-06
1.3288315048337824e-06,4.754534361476996e-06
1.328846700409076e-06,4.754090412313723e-06
1.3288758527899382e-06,4.753619125677919e-06
1.328902445046702e-06,4.753147269511438e-06
1.3289341575516626e-06,4.7526668703847915e-06
1.3289633925171732e-06,4.752218364976096e-06
1.3290013814554072e-06,4.751715184622341e-06
1.3290215321096008e-06,4.751311956902524e-06
1.329046968181288e-06,4.750949735391501e-06
1.3290761205621502e-06,4.750578116624297e-06
1.3291179083942077e-06,4.7501298959809406e-06
1.3291331039695012e-06,4.7497898861663486e-06
1.3291634951200885e-06,4.749472942344204e-06
1.3291990891035209e-06,4.749087939606074e-06
1.3292141195095178e-06,4.748789220765616e-06
1.329257311280597e-06,4.748444654705602e-06
1.329294061449106e-06,4.748041996516463e-06
1.3293092570243996e-06,4.7477612178923525e-06
1.32932709530844e-06,4.747566723165915e-06
1.3293676443707724e-06,4.7472275676473405e-06
1.3293954753972613e-06,4.746906067579774e-06
1.3294044771239298e-06,4.746724387293585e-06
1.3294449436016138e-06,4.746453290690996e-06
1.329481693770123e-06,4.746095340660056e-06
1.3295033309479865e-06,4.7458373432630545e-06
1.3295299232047505e-06,4.745616080594765e-06
1.3295539553374159e-06,4.7453714671686894e-06
1.3295717936214562e-06,4.745177257207591e-06
1.3296110213294154e-06,4.744909577789068e-06
1.3296401737102774e-06,4.744639050717157e-06
