fake_1,fake_2
1.5236170603354682e-05,6.771239074057307e-05
0.0,2.7298610604195324e-05
0.0,2.3986920705378603e-05
0.0,2.415924645018613e-05
0.0,2.387736151273459e-05
0.0,2.392018025291138e-05
0.0,2.388332734658358e-05
0.0,2.3861289357009667e-05
0.0,2.3855534249511426e-05
0.0,2.3842800967384567e-05
0.0,2.3837185394902367e-05
0.0,2.3829865501867124e-05
0.0,2.3825709351746548e-05
0.0,2.3820166394425754e-05
0.0,2.3815531838535903e-05
0.0,2.3811196286251853e-05
0.0,2.3807199604721035e-05
0.0,2.3803454940515106e-05
0.0,2.379982275861802e-05
0.0,2.3796283125456064e-05
0.0,2.3792789054748327e-05
0.0,2.3790021135654666e-05
0.0,2.3786800439672225e-05
0.0,2.3783441632500443e-05
0.0,2.3780697918460582e-05
0.0,2.377772923980303e-05
0.0,2.3775187709153758e-05
0.0,2.3772559325076135e-05
0.0,2.3769976503452727e-05
0.0,2.3767753909982973e-05
0.0,2.376519244575998e-05
0.0,2.3763199088388e-05
0.0,2.37608882176632e-05
0.0,2.3758961780145853e-05
0.0,2.3756831735411224e-05
0.0,2.3754475302232207e-05
0.0,2.3752551712368247e-05
0.0,2.3751260301556544e-05
0.0,2.374942498894763e-05
0.0,2.374711696587622e-05
0.0,2.3745146389731348e-05
0.0,2.374371971538369e-05
0.0,2.3742066652591643e-05
0.0,2.374023561146281e-05
0.0,2.3738739169607133e-05
0.0,2.373744775879543e-05
0.0,2.373631724040018e-05
0.0,2.3734822222371196e-05
0.0,2.3733532235386187e-05
0.0,2.3732132613745718e-05
0.0,2.3730614814489627e-05
0.0,2.372905145277932e-05
0.0,2.3728170104055564e-05
0.0,2.3727264550278007e-05
0.0,2.3725545991458026e-05
0.0,2.3724368486781864e-05
0.0,2.372357683913985e-05
0.0,2.372215301244558e-05
0.0,2.372079325795255e-05
0.0,2.3719891975655078e-05
0.0,2.3719190029094803e-05
0.0,2.3718443943907005e-05
0.0,2.3717106970641085e-05
0.0,2.3715956518672115e-05
0.0,2.371518765225721e-05
0.0,2.3714393156961807e-05
0.0,2.3713309624847467e-05
0.0,2.371231436998817e-05
0.0,2.371156686097368e-05
0.0,2.371075385593125e-05
0.0,2.3710051909370975e-05
0.0,2.3709466716599632e-05
0.0,2.3708559738995382e-05
0.0,2.370776951518006e-05
0.0,2.3706955086310938e-05
0.0,2.370620900112314e-05
0.0,2.370582599174238e-05
0.0,2.3705124045182106e-05
0.0,2.370406471812157e-05
0.0,2.370365465603362e-05
0.0,2.370309082066269e-05
0.0,2.3702435860383326e-05
0.0,2.3701733913823048e-05
0.0,2.3701212793252947e-05
0.0,2.3700559256800277e-05
0.0,2.3700018202656454e-05
0.0,2.3699386023604196e-05
0.0,2.3699135430106004e-05
0.0,2.3698390768744903e-05
0.0,2.3697690246011322e-05
0.0,2.3697123562987e-05
0.0,2.3696694991152025e-05
0.0,2.3696153937008206e-05
0.0,2.3695904767336707e-05
0.0,2.3695360865539496e-05
