fake_1,fake_2
1.5208390779347794e-05,6.750085565625872e-05
7.0623988042728715e-06,2.7328587851416487e-05
6.742079793392554e-06,2.3982919752367704e-05
6.7030535919754196e-06,2.4161755232821435e-05
6.6589740359266736e-06,2.3878158855683383e-05
6.65468954437106e-06,2.3919952440640295e-05
6.647795790851305e-06,2.3883278936475976e-05
6.646793626143761e-06,2.38613804819181e-05
6.6449177158568345e-06,2.385535199969456e-05
6.644240108817246e-06,2.3842729776049856e-05
6.643745839696962e-06,2.3836890662776652e-05
6.643334155225013e-06,2.3829730238331167e-05
6.6431181963696176e-06,2.3825505744529266e-05
6.643086401280008e-06,2.381980189479202e-05
6.6430934209751164e-06,2.381494095045778e-05
6.643004229554915e-06,2.3811106585170112e-05
6.643049238188257e-06,2.3807380430711206e-05
6.643138016685217e-06,2.380329404809865e-05
6.6432201884103105e-06,2.379948246403809e-05
6.643282952743046e-06,2.379607809441209e-05
6.64337792508863e-06,2.379274349229411e-05
6.643479917129324e-06,2.378945302880365e-05
6.643542681462058e-06,2.378659540862825e-05
6.643694637214995e-06,2.378353418123557e-05
6.643726845227845e-06,2.378092430690497e-05
6.643846592967931e-06,2.3778387047735782e-05
6.643980380098234e-06,2.377571167737725e-05
6.6441703247894036e-06,2.3772697436265477e-05
6.6442463026658715e-06,2.377033673160638e-05
6.644417252887925e-06,2.3767845034891404e-05
6.644518832005377e-06,2.3765578302794127e-05
6.6446389926687044e-06,2.3763446834232805e-05
6.644885920767226e-06,2.3760750106473855e-05
6.6449936937333025e-06,2.3758395097121532e-05
6.645000713428411e-06,2.3757196235044957e-05
6.645272829844674e-06,2.3754928079120987e-05
6.645386796659377e-06,2.3752664194677094e-05
6.645469381307712e-06,2.3751237520329438e-05
6.645640331529764e-06,2.3749540318909866e-05
6.645823669449068e-06,2.3747364711721024e-05
6.645970257199863e-06,2.3745509465538388e-05
6.64607059754759e-06,2.3744038652563207e-05
6.646197364982784e-06,2.3742631911789267e-05
6.646419517686804e-06,2.37406855406982e-05
6.646533484501507e-06,2.3739033901732845e-05
6.646654471011317e-06,2.3737743914747837e-05
6.646793626143761e-06,2.37363371739739e-05
6.646983570834932e-06,2.373464282020772e-05
6.647072349331892e-06,2.3733351409396016e-05
6.647231324779936e-06,2.3732038641183897e-05
6.6473894743814975e-06,2.37305222657545e-05
6.647484446727083e-06,2.3729302046277508e-05
6.647548449829542e-06,2.3728600099717233e-05
6.647775970535705e-06,2.3727130710568747e-05
6.64782676009443e-06,2.3726068535854824e-05
6.647985735542476e-06,2.3724957951033292e-05
6.648131084523545e-06,2.3723712102675803e-05
6.648252071033355e-06,2.372258300810725e-05
6.648334242758448e-06,2.372172301678391e-05
6.6485563954624695e-06,2.372029634243625e-05
6.648669536430688e-06,2.3719074699132565e-05
6.64875872785089e-06,2.371823891286303e-05
6.648885495286084e-06,2.3717334782912167e-05
6.648961473162552e-06,2.3716450586535027e-05
6.649062639356763e-06,2.3715797050082357e-05
6.649196013563823e-06,2.3714892920131495e-05
6.649354989011868e-06,2.3713716839282027e-05
6.649494144144312e-06,2.3712586320886776e-05
6.649589116489897e-06,2.371175053461724e-05
6.649652293745873e-06,2.3711161070365813e-05
6.649786493799417e-06,2.3710392203950908e-05
6.649893853842253e-06,2.3709421154145415e-05
6.65000162680833e-06,2.37086295065034e-05
6.6500520034438145e-06,2.3708111233586687e-05
6.650185790574117e-06,2.3707410710853106e-05
6.6503121450860696e-06,2.3706459594621332e-05
6.65036912849342e-06,2.370582599174238e-05
6.650508696549106e-06,2.3705104111608387e-05
6.650584674425574e-06,2.3704333821366788e-05
6.65067964677116e-06,2.3703677437260727e-05
6.650762644342736e-06,2.3703159164344014e-05
6.65087702408068e-06,2.3702413079156216e-05
6.650921206867539e-06,2.3701916163639916e-05
6.650984384123515e-06,2.370155451165957e-05
6.6510793564691e-06,2.3700989252461947e-05
6.651200342978911e-06,2.3700243167274148e-05
6.65124452576577e-06,2.3699744827931155e-05
6.651396894441948e-06,2.3698978809169637e-05
6.651466265546549e-06,2.3698345206290686e-05
6.651536049574392e-06,2.3697824085720582e-05
6.651638041615086e-06,2.3697261674176346e-05
6.6516504293123365e-06,2.3696874393315506e-05
6.651701218871062e-06,2.3696694991152025e-05
6.6518217924576306e-06,2.3696106950727295e-05
6.651935759272333e-06,2.3695316726911973e-05
6.6519931556029255e-06,2.369484259262278e-05
6.652094321797136e-06,2.3694277333425156e-05
6.652088127948511e-06,2.3694028163753658e-05
6.6521645187482205e-06,2.369375906050844e-05
6.65232968804489e-06,2.3692943207812624e-05
6.6523866714522416e-06,2.3692242685079043e-05
6.652392865300867e-06,2.3692086064142673e-05
6.652449848708217e-06,2.3691929443206305e-05
6.652589416763904e-06,2.3691159152964703e-05
6.6525960235357705e-06,2.369077471975725e-05
6.652671588488997e-06,2.3690481411458232e-05
6.652722378047723e-06,2.3690142540704997e-05
6.652703383578606e-06,2.3690052839623256e-05
6.652791749152324e-06,2.368985065623267e-05
6.6529127356621346e-06,2.3689103147218177e-05
6.652906128890268e-06,2.368885682520007e-05
6.652925949205868e-06,2.3688809838919158e-05
6.653052303717821e-06,2.368831292340286e-05
6.653135301289397e-06,2.3687591043268864e-05
6.6531414951380225e-06,2.36874572035596e-05
6.653178658229773e-06,2.368731909237026e-05
6.65326165580135e-06,2.3686890520535283e-05
6.653369841690668e-06,2.368623556025592e-05
6.653388423236544e-06,2.368591947072979e-05
6.653376035539293e-06,2.3685942251956897e-05
6.6534202183261526e-06,2.368585255087516e-05
6.653528404215472e-06,2.3685264510450426e-05
6.653502390051246e-06,2.3685130670741162e-05
6.6535915814714475e-06,2.3684858719842557e-05
0.004251942897605873,0.018864332998208114
0.00872345303155733,0.032530250952034455
0.01262044378080684,0.047905889429851134
0.016906624767268372,0.06951221466277317
0.013834076271648076,0.04904097044926697
0.013669205918191731,0.05006322571005556
0.013468741449167612,0.050061861023426864
0.012603241226782613,0.049697128109928095
0.011324582878769774,0.04062440563463734
0.007897773567401255,0.03731392373316926
0.004602878974334028,0.039637568074259326
0.002663804539266268,0.04052312722440677
0.0024897811112114957,0.04163394131620718
0.002157325179624079,0.03928736265816263
0.004936270847651182,0.04445386211461472
0.006636285638074279,0.04413751725649329
0.008479244756023964,0.04640960385339107
0.009929448305537256,0.04870695173290508
0.010845949846900084,0.05082038767722269
0.011525398299515455,0.05234312717910057
0.01250331808348557,0.052829754602113865
0.014429876438512183,0.05521324978306291
0.01615550689910885,0.05850665268969279
0.018602587545224303,0.059741950696405755
0.019625490883230925,0.0572683861979627
0.021800068934053767,0.06228712625089057
0.02266922666534422,0.05720188980078149
0.024013359919598905,0.056595245770366676
0.025122150869040412,0.05761697031968856
0.02329612792007328,0.05704185988158727
0.019548934359255647,0.05070769605446067
0.01389813637733528,0.034293571876164525
0.008771507201740822,0.01753360607138673
0.006400416482845351,0.017694152122062313
2.0137049198745708e-05,0.04156808935437841
1.608555040809306e-05,0.020482177744519662
1.5183717789811262e-05,0.023676444040766784
1.4016856169786112e-05,0.01706638023487779
1.5182386525280103e-05,0.00209641399367208
7.457962752867313e-06,3.363568448249151e-05
6.697092632058607e-06,3.2005217820081826e-05
6.700874183105862e-06,2.6309219063227426e-05
6.711988425078771e-06,2.334043931397867e-05
6.619192184977276e-06,2.4759227085577892e-05
6.654067681969098e-06,2.3883145096766716e-05
6.657570509828222e-06,2.4556246352042725e-05
6.666890600316056e-06,2.3948753607011994e-05
6.708628881584508e-06,2.4131453353113974e-05
6.689426712076922e-06,2.365143296436787e-05
6.691832402882917e-06,2.374958445753739e-05
6.6957902721543664e-06,2.362826303257201e-05
6.736655633689918e-06,2.370288721344541e-05
6.817563813663607e-06,2.3844438368082977e-05
6.8655331066489265e-06,2.4144783218625732e-05
6.828233750228474e-06,2.467814585064598e-05
6.7790438561407655e-06,2.5451070171630582e-05
6.747475461391514e-06,2.601765352808154e-05
6.748389260525339e-06,2.6282163508382903e-05
6.79166113871337e-06,2.6488117192055706e-05
6.872528852209375e-06,2.670052081065355e-05
6.968896465428112e-06,2.686081237224111e-05
7.066069691891357e-06,2.6973593684694254e-05
7.1522500758147444e-06,2.7032300906952406e-05
7.201029524200229e-06,2.6990033187706297e-05
7.203404658686341e-06,2.6864682333196135e-05
7.178096593204114e-06,2.6725024868061944e-05
7.135316093673677e-06,2.6570331793036257e-05
7.093628189040709e-06,2.6447432768093628e-05
7.049817033099051e-06,2.6316343892005553e-05
7.017675913813596e-06,2.6231862558927722e-05
6.988274953159893e-06,2.614929769658038e-05
6.962586172448844e-06,2.6069580487621578e-05
6.944842860754093e-06,2.602641290990469e-05
6.925565952139764e-06,2.595912286033348e-05
6.912041064281959e-06,2.592068238724157e-05
6.898818023313819e-06,2.5877167395811286e-05
6.887414735071738e-06,2.583993432775612e-05
6.8763500438878295e-06,2.580137710087528e-05
6.867490775737705e-06,2.577366658575139e-05
6.859008506507229e-06,2.574571117243609e-05
6.850518804658402e-06,2.5714036723795356e-05
6.843741495492799e-06,2.5693302959473392e-05
6.837323016624212e-06,2.5671680727294204e-05
6.831046996274003e-06,2.5649266847473e-05
6.82542133002943e-06,2.563083113943559e-05
6.820106594985838e-06,2.561104279603862e-05
6.815828710202091e-06,2.559834510957912e-05
6.8110850480017354e-06,2.557936265209111e-05
6.8072287578477375e-06,2.5568365014704565e-05
6.8029463309083326e-06,2.555166922288755e-05
6.79937248025164e-06,2.5539270540033847e-05
6.796190080828055e-06,2.552884812863179e-05
6.793002313402328e-06,2.5516121965638402e-05
6.7900940950112154e-06,2.5507123380930613e-05
6.7869934543894824e-06,2.549493827208105e-05
6.784321015169365e-06,2.548591975379954e-05
0.003691812533488047,0.009863414763764995
0.00938799829817482,0.032881132879451366
0.014613392899218558,0.04242132759300346
0.016865841640222246,0.031339223612836184
0.01841888165515496,0.037590753914996944
0.01942024755112594,0.04332930201262696
0.018482139223049962,0.04021780191921237
0.016464890714837234,0.030247287686066087
0.019352056363125873,0.02766703851882493
0.014748917769084567,0.024242354508112643
0.014570617381194109,0.04019664052847635
0.013393899091793804,0.038521831779404984
0.012692267953375197,0.040614115080977786
0.007916828977381976,0.04513444708273011
0.005309655572390844,0.0457859828880355
0.0023003001625721297,0.045569954161111585
0.00016005447923948528,0.04864842183971874
3.4304850285372394e-05,0.04151618169053774
4.2568739278563716e-05,0.03942306441380295
3.90096580603797e-05,0.03364883326002899
0.00010949525900789365,0.0370829301092828
0.0022442933418113193,0.038743150125013635
0.0004872511165094305,0.000544340244708161
